text,label,cand_label_top1,cand_label_top2,cand_label_top3
The topic of this snippet is class_432,class_432,class_432,class_197,class_388
The topic of this snippet is class_20,class_20,class_20,class_133,class_495
The sentence is related to class_207,class_207,class_207,class_471,class_402
I think this text is about class_495,class_495,class_495,class_244,class_183
I think this text is about class_258,class_258,class_258,class_71,class_144
The sentence is related to class_386,class_386,class_386,class_48,class_316
I think this text is about class_465,class_465,class_465,class_272,class_361
This text is about class_158,class_158,class_158,class_50,class_374
The sentence is related to class_460,class_460,class_460,class_435,class_350
The sentence is related to class_241,class_241,class_241,class_287,class_51
I think this text is about class_222,class_222,class_222,class_161,class_313
The topic of this snippet is class_494,class_494,class_494,class_282,class_244
This text is about class_443,class_443,class_443,class_266,class_133
This text is about class_412,class_412,class_412,class_471,class_280
The topic of this snippet is class_47,class_47,class_47,class_369,class_431
This text is about class_363,class_363,class_363,class_423,class_402
The sentence is related to class_313,class_313,class_313,class_252,class_424
This text is about class_124,class_124,class_124,class_374,class_167
I think this text is about class_97,class_97,class_97,class_470,class_291
I think this text is about class_122,class_122,class_122,class_412,class_496
This text is about class_411,class_411,class_411,class_278,class_229
The topic of this snippet is class_41,class_41,class_41,class_164,class_449
The sentence is related to class_55,class_55,class_55,class_155,class_283
The sentence is related to class_361,class_361,class_361,class_63,class_280
I think this text is about class_417,class_417,class_417,class_473,class_276
The sentence is related to class_493,class_493,class_493,class_409,class_308
The topic of this snippet is class_227,class_227,class_227,class_46,class_306
The sentence is related to class_162,class_162,class_162,class_295,class_123
I think this text is about class_94,class_94,class_94,class_97,class_421
The sentence is related to class_16,class_16,class_16,class_314,class_337
I think this text is about class_243,class_243,class_243,class_35,class_45
This text is about class_448,class_448,class_448,class_76,class_473
The topic of this snippet is class_431,class_431,class_431,class_41,class_460
The sentence is related to class_428,class_428,class_428,class_361,class_268
I think this text is about class_267,class_267,class_267,class_416,class_120
The topic of this snippet is class_458,class_458,class_458,class_347,class_301
The topic of this snippet is class_296,class_296,class_296,class_140,class_230
The sentence is related to class_338,class_338,class_338,class_328,class_359
This text is about class_42,class_42,class_42,class_167,class_314
The sentence is related to class_249,class_249,class_249,class_301,class_323
This text is about class_432,class_432,class_432,class_97,class_124
I think this text is about class_374,class_374,class_374,class_138,class_59
The sentence is related to class_190,class_190,class_190,class_407,class_87
This text is about class_218,class_218,class_218,class_418,class_31
I think this text is about class_400,class_400,class_400,class_74,class_438
This text is about class_23,class_23,class_23,class_419,class_294
I think this text is about class_13,class_13,class_13,class_64,class_326
This text is about class_310,class_310,class_310,class_426,class_294
This text is about class_200,class_200,class_200,class_46,class_189
I think this text is about class_18,class_18,class_18,class_311,class_11
This text is about class_492,class_492,class_492,class_497,class_94
This text is about class_245,class_245,class_245,class_107,class_373
The topic of this snippet is class_479,class_479,class_479,class_347,class_11
The sentence is related to class_317,class_317,class_317,class_51,class_428
The sentence is related to class_35,class_35,class_35,class_114,class_37
This text is about class_179,class_179,class_179,class_224,class_92
This text is about class_257,class_257,class_257,class_239,class_20
The sentence is related to class_358,class_358,class_358,class_200,class_102
The topic of this snippet is class_183,class_183,class_183,class_464,class_375
I think this text is about class_429,class_429,class_429,class_462,class_471
This text is about class_357,class_357,class_357,class_344,class_104
I think this text is about class_403,class_403,class_403,class_346,class_81
This text is about class_175,class_175,class_175,class_272,class_128
I think this text is about class_305,class_305,class_305,class_472,class_226
The topic of this snippet is class_6,class_6,class_6,class_242,class_349
The sentence is related to class_460,class_460,class_460,class_291,class_447
The sentence is related to class_332,class_332,class_332,class_182,class_198
This text is about class_78,class_78,class_78,class_288,class_354
The sentence is related to class_234,class_234,class_234,class_380,class_40
The sentence is related to class_378,class_378,class_378,class_23,class_278
The topic of this snippet is class_69,class_69,class_69,class_123,class_391
The sentence is related to class_180,class_180,class_180,class_313,class_147
I think this text is about class_302,class_302,class_302,class_485,class_457
The topic of this snippet is class_366,class_366,class_366,class_158,class_198
This text is about class_424,class_424,class_424,class_333,class_41
The sentence is related to class_304,class_304,class_304,class_98,class_358
The topic of this snippet is class_81,class_81,class_81,class_123,class_115
The topic of this snippet is class_193,class_193,class_193,class_364,class_449
The topic of this snippet is class_16,class_16,class_16,class_206,class_447
This text is about class_395,class_395,class_395,class_339,class_363
The sentence is related to class_84,class_84,class_84,class_229,class_32
The topic of this snippet is class_359,class_359,class_359,class_80,class_228
This text is about class_464,class_464,class_464,class_287,class_309
The sentence is related to class_452,class_452,class_452,class_19,class_253
This text is about class_159,class_159,class_159,class_429,class_240
The topic of this snippet is class_414,class_414,class_414,class_422,class_449
This text is about class_96,class_96,class_96,class_281,class_494
This text is about class_428,class_428,class_428,class_371,class_66
The topic of this snippet is class_205,class_205,class_205,class_487,class_348
This text is about class_161,class_161,class_161,class_1,class_109
This text is about class_367,class_367,class_367,class_387,class_1
I think this text is about class_97,class_97,class_97,class_60,class_312
I think this text is about class_447,class_447,class_447,class_154,class_143
The topic of this snippet is class_51,class_51,class_51,class_244,class_438
The sentence is related to class_321,class_321,class_321,class_41,class_11
This text is about class_467,class_467,class_467,class_231,class_409
The sentence is related to class_441,class_441,class_441,class_131,class_68
The sentence is related to class_58,class_58,class_58,class_447,class_80
This text is about class_435,class_435,class_435,class_9,class_21
The sentence is related to class_105,class_105,class_105,class_349,class_133
This text is about class_484,class_484,class_484,class_187,class_480
The topic of this snippet is class_433,class_433,class_433,class_383,class_493
The topic of this snippet is class_364,class_364,class_364,class_329,class_463
I think this text is about class_327,class_327,class_327,class_222,class_190
The sentence is related to class_106,class_106,class_106,class_193,class_301
The sentence is related to class_4,class_4,class_4,class_71,class_78
The sentence is related to class_170,class_170,class_170,class_173,class_405
This text is about class_367,class_367,class_367,class_47,class_173
I think this text is about class_21,class_21,class_21,class_139,class_84
The topic of this snippet is class_298,class_298,class_298,class_148,class_184
This text is about class_280,class_280,class_280,class_66,class_150
This text is about class_244,class_244,class_244,class_375,class_122
This text is about class_157,class_157,class_157,class_91,class_439
The sentence is related to class_154,class_154,class_154,class_207,class_428
This text is about class_153,class_153,class_153,class_213,class_55
The topic of this snippet is class_287,class_287,class_287,class_466,class_246
The sentence is related to class_172,class_172,class_172,class_431,class_409
The topic of this snippet is class_63,class_63,class_63,class_246,class_59
The sentence is related to class_218,class_218,class_218,class_19,class_154
I think this text is about class_376,class_376,class_376,class_351,class_458
The topic of this snippet is class_470,class_470,class_470,class_85,class_320
This text is about class_412,class_412,class_412,class_499,class_327
I think this text is about class_33,class_33,class_33,class_414,class_44
The topic of this snippet is class_383,class_383,class_383,class_113,class_31
The sentence is related to class_4,class_4,class_4,class_51,class_202
I think this text is about class_229,class_229,class_229,class_472,class_251
I think this text is about class_216,class_216,class_216,class_42,class_188
I think this text is about class_133,class_133,class_133,class_300,class_398
This text is about class_220,class_220,class_220,class_98,class_183
This text is about class_32,class_32,class_32,class_421,class_443
I think this text is about class_462,class_462,class_462,class_269,class_231
The sentence is related to class_60,class_60,class_60,class_255,class_204
I think this text is about class_106,class_106,class_106,class_329,class_21
I think this text is about class_319,class_319,class_319,class_74,class_53
I think this text is about class_234,class_234,class_234,class_193,class_185
I think this text is about class_53,class_53,class_53,class_306,class_250
The topic of this snippet is class_288,class_288,class_288,class_207,class_327
The sentence is related to class_449,class_449,class_449,class_266,class_253
I think this text is about class_426,class_426,class_426,class_255,class_325
I think this text is about class_277,class_277,class_277,class_313,class_477
The sentence is related to class_4,class_4,class_4,class_175,class_362
I think this text is about class_418,class_418,class_418,class_164,class_18
I think this text is about class_447,class_447,class_447,class_131,class_308
The sentence is related to class_431,class_431,class_431,class_194,class_298
The topic of this snippet is class_367,class_367,class_367,class_361,class_414
This text is about class_33,class_33,class_33,class_410,class_44
This text is about class_33,class_33,class_33,class_116,class_67
The topic of this snippet is class_153,class_153,class_153,class_7,class_389
I think this text is about class_169,class_169,class_169,class_442,class_82
The sentence is related to class_444,class_444,class_444,class_335,class_235
This text is about class_258,class_258,class_258,class_195,class_462
This text is about class_293,class_293,class_293,class_46,class_348
I think this text is about class_382,class_382,class_382,class_218,class_464
The topic of this snippet is class_148,class_148,class_148,class_275,class_462
The topic of this snippet is class_422,class_422,class_422,class_498,class_246
This text is about class_311,class_311,class_311,class_300,class_119
I think this text is about class_336,class_336,class_336,class_454,class_0
The sentence is related to class_154,class_154,class_154,class_260,class_292
The sentence is related to class_170,class_170,class_170,class_33,class_253
The topic of this snippet is class_482,class_482,class_482,class_422,class_155
This text is about class_196,class_196,class_196,class_415,class_197
I think this text is about class_83,class_83,class_83,class_329,class_479
The sentence is related to class_122,class_122,class_122,class_147,class_374
The topic of this snippet is class_28,class_28,class_28,class_483,class_18
This text is about class_213,class_213,class_213,class_72,class_252
The sentence is related to class_344,class_344,class_344,class_358,class_77
The topic of this snippet is class_210,class_210,class_210,class_18,class_314
This text is about class_197,class_197,class_197,class_235,class_24
This text is about class_241,class_241,class_241,class_399,class_77
I think this text is about class_16,class_16,class_16,class_307,class_317
The sentence is related to class_322,class_322,class_322,class_165,class_53
The topic of this snippet is class_99,class_99,class_99,class_197,class_402
The topic of this snippet is class_56,class_56,class_56,class_452,class_30
The sentence is related to class_314,class_314,class_314,class_324,class_479
The sentence is related to class_333,class_333,class_333,class_63,class_497
The topic of this snippet is class_403,class_403,class_403,class_435,class_65
This text is about class_409,class_409,class_409,class_150,class_470
I think this text is about class_265,class_265,class_265,class_441,class_403
The topic of this snippet is class_19,class_19,class_19,class_401,class_201
The topic of this snippet is class_190,class_190,class_190,class_388,class_97
This text is about class_182,class_182,class_182,class_405,class_324
This text is about class_489,class_489,class_489,class_22,class_461
This text is about class_248,class_248,class_248,class_130,class_462
I think this text is about class_483,class_483,class_483,class_266,class_341
The topic of this snippet is class_117,class_117,class_117,class_47,class_398
This text is about class_259,class_259,class_259,class_156,class_485
The topic of this snippet is class_74,class_74,class_74,class_219,class_457
This text is about class_472,class_472,class_472,class_43,class_480
The topic of this snippet is class_212,class_212,class_212,class_32,class_50
This text is about class_396,class_396,class_396,class_79,class_375
The topic of this snippet is class_405,class_405,class_405,class_228,class_220
The sentence is related to class_15,class_15,class_15,class_255,class_471
The sentence is related to class_369,class_369,class_369,class_129,class_40
This text is about class_36,class_36,class_36,class_63,class_184
This text is about class_176,class_176,class_176,class_179,class_91
The sentence is related to class_425,class_425,class_425,class_499,class_118
I think this text is about class_36,class_36,class_36,class_306,class_458
This text is about class_106,class_106,class_106,class_1,class_104
The sentence is related to class_382,class_382,class_382,class_3,class_150
I think this text is about class_353,class_353,class_353,class_12,class_478
The topic of this snippet is class_439,class_439,class_439,class_72,class_95
The sentence is related to class_57,class_57,class_57,class_245,class_177
I think this text is about class_66,class_66,class_66,class_14,class_495
The sentence is related to class_185,class_185,class_185,class_171,class_243
The sentence is related to class_151,class_151,class_151,class_480,class_450
This text is about class_94,class_94,class_94,class_304,class_41
I think this text is about class_273,class_273,class_273,class_298,class_157
I think this text is about class_192,class_192,class_192,class_460,class_75
I think this text is about class_411,class_411,class_411,class_114,class_161
The sentence is related to class_121,class_121,class_121,class_387,class_94
This text is about class_190,class_190,class_190,class_215,class_340
This text is about class_440,class_440,class_440,class_67,class_307
This text is about class_201,class_201,class_201,class_39,class_360
The topic of this snippet is class_67,class_67,class_67,class_216,class_154
The topic of this snippet is class_379,class_379,class_379,class_475,class_72
This text is about class_152,class_152,class_152,class_327,class_182
The sentence is related to class_127,class_127,class_127,class_228,class_324
This text is about class_326,class_326,class_326,class_486,class_270
The topic of this snippet is class_192,class_192,class_192,class_210,class_4
The sentence is related to class_492,class_492,class_492,class_372,class_461
The sentence is related to class_225,class_225,class_225,class_104,class_190
I think this text is about class_487,class_487,class_487,class_241,class_46
This text is about class_407,class_407,class_407,class_55,class_141
I think this text is about class_285,class_285,class_285,class_311,class_353
The topic of this snippet is class_407,class_407,class_407,class_359,class_228
The topic of this snippet is class_94,class_94,class_94,class_394,class_216
The topic of this snippet is class_89,class_89,class_89,class_127,class_492
I think this text is about class_174,class_174,class_174,class_480,class_268
This text is about class_181,class_181,class_181,class_237,class_324
The sentence is related to class_247,class_247,class_247,class_387,class_104
The topic of this snippet is class_0,class_0,class_0,class_426,class_358
I think this text is about class_316,class_316,class_316,class_236,class_3
The sentence is related to class_152,class_152,class_152,class_58,class_394
The topic of this snippet is class_279,class_279,class_279,class_312,class_79
This text is about class_361,class_361,class_361,class_385,class_241
I think this text is about class_347,class_347,class_347,class_254,class_390
The sentence is related to class_278,class_278,class_278,class_391,class_207
The sentence is related to class_323,class_323,class_323,class_11,class_61
This text is about class_452,class_452,class_452,class_342,class_20
The topic of this snippet is class_131,class_131,class_131,class_204,class_270
The sentence is related to class_227,class_227,class_227,class_52,class_383
I think this text is about class_181,class_181,class_181,class_145,class_447
This text is about class_304,class_304,class_304,class_43,class_18
The sentence is related to class_405,class_405,class_405,class_134,class_156
I think this text is about class_60,class_60,class_60,class_272,class_441
I think this text is about class_456,class_456,class_456,class_472,class_390
The sentence is related to class_34,class_34,class_34,class_213,class_441
I think this text is about class_144,class_144,class_144,class_267,class_68
The topic of this snippet is class_272,class_272,class_272,class_53,class_210
The sentence is related to class_379,class_379,class_379,class_399,class_463
I think this text is about class_149,class_149,class_149,class_227,class_191
This text is about class_80,class_80,class_80,class_63,class_357
The topic of this snippet is class_195,class_195,class_195,class_206,class_303
The sentence is related to class_71,class_71,class_71,class_287,class_343
The topic of this snippet is class_181,class_181,class_181,class_324,class_243
The sentence is related to class_111,class_111,class_111,class_245,class_251
This text is about class_252,class_252,class_252,class_334,class_491
The topic of this snippet is class_227,class_227,class_227,class_153,class_73
I think this text is about class_26,class_26,class_26,class_455,class_319
The topic of this snippet is class_13,class_13,class_13,class_182,class_242
This text is about class_454,class_454,class_454,class_5,class_433
The topic of this snippet is class_351,class_351,class_351,class_444,class_41
This text is about class_3,class_3,class_3,class_185,class_22
The sentence is related to class_317,class_317,class_317,class_1,class_138
I think this text is about class_372,class_372,class_372,class_462,class_116
I think this text is about class_384,class_384,class_384,class_293,class_147
The sentence is related to class_53,class_53,class_53,class_223,class_236
The topic of this snippet is class_196,class_196,class_196,class_86,class_169
The topic of this snippet is class_331,class_331,class_331,class_460,class_352
I think this text is about class_75,class_75,class_75,class_230,class_478
I think this text is about class_268,class_268,class_268,class_161,class_66
The sentence is related to class_466,class_466,class_466,class_95,class_227
The topic of this snippet is class_404,class_404,class_404,class_199,class_218
I think this text is about class_199,class_199,class_199,class_374,class_112
This text is about class_224,class_224,class_224,class_482,class_104
I think this text is about class_463,class_463,class_463,class_198,class_17
I think this text is about class_324,class_324,class_324,class_43,class_446
I think this text is about class_186,class_186,class_186,class_29,class_381
This text is about class_119,class_119,class_119,class_313,class_153
The sentence is related to class_360,class_360,class_360,class_445,class_262
The sentence is related to class_394,class_394,class_394,class_450,class_453
The topic of this snippet is class_210,class_210,class_210,class_235,class_27
The sentence is related to class_297,class_297,class_297,class_232,class_250
The sentence is related to class_360,class_360,class_360,class_243,class_110
This text is about class_136,class_136,class_136,class_21,class_22
The sentence is related to class_83,class_83,class_83,class_180,class_1
This text is about class_335,class_335,class_335,class_3,class_71
I think this text is about class_402,class_402,class_402,class_219,class_348
I think this text is about class_496,class_496,class_496,class_311,class_203
This text is about class_232,class_232,class_232,class_98,class_173
The sentence is related to class_310,class_310,class_310,class_453,class_43
The sentence is related to class_165,class_165,class_165,class_275,class_234
This text is about class_130,class_130,class_130,class_14,class_268
I think this text is about class_97,class_97,class_97,class_189,class_41
I think this text is about class_445,class_445,class_445,class_268,class_177
The sentence is related to class_428,class_428,class_428,class_103,class_128
The topic of this snippet is class_159,class_159,class_159,class_265,class_441
I think this text is about class_130,class_130,class_130,class_247,class_177
This text is about class_22,class_22,class_22,class_157,class_479
The topic of this snippet is class_4,class_4,class_4,class_236,class_254
The topic of this snippet is class_24,class_24,class_24,class_470,class_415
This text is about class_252,class_252,class_252,class_235,class_225
This text is about class_43,class_43,class_43,class_41,class_124
The topic of this snippet is class_423,class_423,class_423,class_391,class_78
The topic of this snippet is class_452,class_452,class_452,class_471,class_109
The topic of this snippet is class_313,class_313,class_313,class_39,class_419
The topic of this snippet is class_286,class_286,class_286,class_387,class_454
I think this text is about class_20,class_20,class_20,class_491,class_93
The sentence is related to class_250,class_250,class_250,class_112,class_65
The topic of this snippet is class_478,class_478,class_478,class_180,class_163
The sentence is related to class_54,class_54,class_54,class_286,class_461
I think this text is about class_312,class_312,class_312,class_277,class_404
The topic of this snippet is class_364,class_364,class_364,class_151,class_399
The sentence is related to class_263,class_263,class_263,class_310,class_236
This text is about class_139,class_139,class_139,class_118,class_8
This text is about class_314,class_314,class_314,class_402,class_365
I think this text is about class_88,class_88,class_88,class_376,class_213
This text is about class_111,class_111,class_111,class_146,class_451
The topic of this snippet is class_379,class_379,class_379,class_274,class_263
The topic of this snippet is class_439,class_439,class_439,class_25,class_62
The sentence is related to class_330,class_330,class_330,class_139,class_60
The sentence is related to class_117,class_117,class_117,class_346,class_367
I think this text is about class_113,class_113,class_113,class_379,class_426
The sentence is related to class_33,class_33,class_33,class_266,class_158
The topic of this snippet is class_119,class_119,class_119,class_192,class_322
I think this text is about class_146,class_146,class_146,class_299,class_87
The sentence is related to class_414,class_414,class_414,class_7,class_283
This text is about class_187,class_187,class_187,class_300,class_326
The topic of this snippet is class_415,class_415,class_415,class_66,class_449
This text is about class_79,class_79,class_79,class_91,class_262
The topic of this snippet is class_69,class_69,class_69,class_392,class_106
I think this text is about class_291,class_291,class_291,class_393,class_357
I think this text is about class_120,class_120,class_120,class_376,class_67
I think this text is about class_389,class_389,class_389,class_196,class_180
This text is about class_322,class_322,class_322,class_255,class_462
The sentence is related to class_315,class_315,class_315,class_427,class_13
This text is about class_250,class_250,class_250,class_233,class_158
I think this text is about class_490,class_490,class_490,class_112,class_284
The topic of this snippet is class_338,class_338,class_338,class_451,class_253
This text is about class_279,class_279,class_279,class_160,class_361
The topic of this snippet is class_132,class_132,class_132,class_70,class_310
The sentence is related to class_360,class_360,class_360,class_97,class_421
This text is about class_402,class_402,class_402,class_149,class_196
I think this text is about class_106,class_106,class_106,class_19,class_162
I think this text is about class_175,class_175,class_175,class_442,class_226
I think this text is about class_133,class_133,class_133,class_177,class_344
This text is about class_156,class_156,class_156,class_8,class_183
The sentence is related to class_374,class_374,class_374,class_322,class_77
This text is about class_11,class_11,class_11,class_252,class_322
This text is about class_12,class_12,class_12,class_124,class_24
The sentence is related to class_115,class_115,class_115,class_485,class_335
The sentence is related to class_34,class_34,class_34,class_421,class_31
I think this text is about class_497,class_497,class_497,class_339,class_216
The topic of this snippet is class_456,class_456,class_456,class_473,class_110
The sentence is related to class_222,class_222,class_222,class_72,class_183
The topic of this snippet is class_90,class_90,class_90,class_333,class_169
The sentence is related to class_195,class_195,class_195,class_4,class_210
The topic of this snippet is class_273,class_273,class_273,class_272,class_412
This text is about class_388,class_388,class_388,class_21,class_289
I think this text is about class_209,class_209,class_209,class_489,class_199
I think this text is about class_1,class_1,class_1,class_257,class_71
I think this text is about class_40,class_40,class_40,class_169,class_122
I think this text is about class_126,class_126,class_126,class_485,class_11
I think this text is about class_380,class_380,class_380,class_404,class_430
This text is about class_367,class_367,class_367,class_40,class_218
I think this text is about class_317,class_317,class_317,class_322,class_234
The sentence is related to class_314,class_314,class_314,class_308,class_20
The topic of this snippet is class_174,class_174,class_174,class_413,class_378
This text is about class_13,class_13,class_13,class_321,class_478
The sentence is related to class_254,class_254,class_254,class_45,class_183
I think this text is about class_343,class_343,class_343,class_77,class_234
The topic of this snippet is class_259,class_259,class_259,class_182,class_83
The topic of this snippet is class_172,class_172,class_172,class_138,class_412
The sentence is related to class_483,class_483,class_483,class_201,class_7
The topic of this snippet is class_271,class_271,class_271,class_462,class_147
The sentence is related to class_17,class_17,class_17,class_396,class_273
The topic of this snippet is class_478,class_478,class_478,class_351,class_19
The topic of this snippet is class_202,class_202,class_202,class_370,class_61
This text is about class_177,class_177,class_177,class_254,class_26
The sentence is related to class_139,class_139,class_139,class_379,class_17
The sentence is related to class_348,class_348,class_348,class_349,class_297
The sentence is related to class_351,class_351,class_351,class_391,class_106
The sentence is related to class_197,class_197,class_197,class_428,class_498
The sentence is related to class_106,class_106,class_106,class_59,class_290
I think this text is about class_412,class_412,class_412,class_496,class_483
The sentence is related to class_300,class_300,class_300,class_346,class_369
I think this text is about class_83,class_83,class_83,class_470,class_445
This text is about class_169,class_169,class_169,class_434,class_383
I think this text is about class_299,class_299,class_299,class_418,class_26
The sentence is related to class_487,class_487,class_487,class_176,class_185
The topic of this snippet is class_320,class_320,class_320,class_150,class_165
The topic of this snippet is class_400,class_400,class_400,class_206,class_307
I think this text is about class_87,class_87,class_87,class_0,class_404
I think this text is about class_291,class_291,class_291,class_22,class_226
The topic of this snippet is class_174,class_174,class_174,class_476,class_4
The sentence is related to class_465,class_465,class_465,class_485,class_340
This text is about class_382,class_382,class_382,class_313,class_96
The sentence is related to class_281,class_281,class_281,class_480,class_217
I think this text is about class_486,class_486,class_486,class_425,class_89
I think this text is about class_32,class_32,class_32,class_338,class_328
The topic of this snippet is class_296,class_296,class_296,class_56,class_483
The sentence is related to class_386,class_386,class_386,class_222,class_136
The sentence is related to class_145,class_145,class_145,class_6,class_220
The sentence is related to class_484,class_484,class_484,class_132,class_275
The topic of this snippet is class_175,class_175,class_175,class_97,class_362
This text is about class_405,class_405,class_405,class_72,class_433
The topic of this snippet is class_384,class_384,class_384,class_261,class_79
This text is about class_184,class_184,class_184,class_238,class_487
I think this text is about class_287,class_287,class_287,class_468,class_210
I think this text is about class_460,class_460,class_460,class_8,class_185
The sentence is related to class_348,class_348,class_348,class_99,class_323
This text is about class_321,class_321,class_321,class_359,class_254
I think this text is about class_374,class_374,class_374,class_377,class_127
The topic of this snippet is class_140,class_140,class_140,class_94,class_484
I think this text is about class_39,class_39,class_39,class_294,class_230
This text is about class_380,class_380,class_380,class_365,class_230
The topic of this snippet is class_490,class_490,class_490,class_96,class_84
The topic of this snippet is class_472,class_472,class_472,class_33,class_476
The sentence is related to class_324,class_324,class_324,class_202,class_482
The sentence is related to class_129,class_129,class_129,class_224,class_452
The sentence is related to class_312,class_312,class_312,class_167,class_46
The sentence is related to class_15,class_15,class_15,class_253,class_5
The topic of this snippet is class_103,class_103,class_103,class_391,class_204
The topic of this snippet is class_223,class_223,class_223,class_398,class_326
This text is about class_356,class_356,class_356,class_451,class_422
I think this text is about class_298,class_298,class_298,class_238,class_181
The sentence is related to class_288,class_288,class_288,class_364,class_142
The topic of this snippet is class_420,class_420,class_420,class_12,class_203
This text is about class_471,class_471,class_471,class_267,class_69
The sentence is related to class_41,class_41,class_41,class_290,class_443
I think this text is about class_184,class_184,class_184,class_2,class_35
The topic of this snippet is class_367,class_367,class_367,class_56,class_343
This text is about class_22,class_22,class_22,class_162,class_476
I think this text is about class_161,class_161,class_161,class_202,class_464
The topic of this snippet is class_391,class_391,class_391,class_325,class_140
I think this text is about class_343,class_343,class_343,class_72,class_304
This text is about class_206,class_206,class_206,class_444,class_156
I think this text is about class_83,class_83,class_83,class_64,class_458
This text is about class_466,class_466,class_466,class_246,class_361
This text is about class_373,class_373,class_373,class_422,class_266
The topic of this snippet is class_421,class_421,class_421,class_284,class_353
This text is about class_486,class_486,class_486,class_92,class_176
The sentence is related to class_41,class_41,class_41,class_287,class_90
The sentence is related to class_103,class_103,class_103,class_410,class_134
The sentence is related to class_358,class_358,class_358,class_363,class_129
I think this text is about class_264,class_264,class_264,class_479,class_233
I think this text is about class_387,class_387,class_387,class_461,class_229
I think this text is about class_19,class_19,class_19,class_324,class_300
The sentence is related to class_328,class_328,class_328,class_262,class_17
I think this text is about class_418,class_418,class_418,class_485,class_36
I think this text is about class_331,class_331,class_331,class_406,class_233
I think this text is about class_415,class_415,class_415,class_234,class_267
I think this text is about class_363,class_363,class_363,class_170,class_468
This text is about class_243,class_243,class_243,class_396,class_285
The sentence is related to class_278,class_278,class_278,class_42,class_421
This text is about class_1,class_1,class_1,class_417,class_397
The sentence is related to class_53,class_53,class_53,class_219,class_312
The topic of this snippet is class_291,class_291,class_291,class_231,class_171
This text is about class_262,class_262,class_262,class_185,class_431
This text is about class_69,class_69,class_69,class_163,class_474
This text is about class_93,class_93,class_93,class_376,class_64
I think this text is about class_172,class_172,class_172,class_454,class_312
This text is about class_22,class_22,class_22,class_212,class_331
The topic of this snippet is class_357,class_357,class_357,class_159,class_408
I think this text is about class_466,class_466,class_466,class_26,class_307
This text is about class_183,class_183,class_183,class_471,class_428
The sentence is related to class_209,class_209,class_209,class_27,class_226
The sentence is related to class_309,class_309,class_309,class_462,class_318
The topic of this snippet is class_344,class_344,class_344,class_158,class_288
The topic of this snippet is class_211,class_211,class_211,class_92,class_15
The topic of this snippet is class_410,class_410,class_410,class_135,class_97
This text is about class_32,class_32,class_32,class_184,class_50
I think this text is about class_13,class_13,class_13,class_180,class_10
This text is about class_206,class_206,class_206,class_316,class_354
The topic of this snippet is class_165,class_165,class_165,class_234,class_405
This text is about class_243,class_243,class_243,class_41,class_440
The sentence is related to class_274,class_274,class_274,class_442,class_205
This text is about class_14,class_14,class_14,class_332,class_265
The sentence is related to class_428,class_428,class_428,class_423,class_41
The topic of this snippet is class_183,class_183,class_183,class_490,class_50
The sentence is related to class_495,class_495,class_495,class_16,class_78
The topic of this snippet is class_491,class_491,class_491,class_18,class_0
I think this text is about class_172,class_172,class_172,class_80,class_484
I think this text is about class_82,class_82,class_82,class_90,class_400
The sentence is related to class_327,class_327,class_327,class_349,class_124
The topic of this snippet is class_484,class_484,class_484,class_12,class_247
The sentence is related to class_22,class_22,class_22,class_116,class_124
I think this text is about class_168,class_168,class_168,class_87,class_495
The topic of this snippet is class_180,class_180,class_180,class_115,class_83
I think this text is about class_237,class_237,class_237,class_186,class_449
This text is about class_197,class_197,class_197,class_290,class_395
This text is about class_83,class_83,class_83,class_477,class_299
I think this text is about class_351,class_351,class_351,class_199,class_368
The sentence is related to class_76,class_76,class_76,class_9,class_12
This text is about class_261,class_261,class_261,class_1,class_19
I think this text is about class_397,class_397,class_397,class_474,class_57
The topic of this snippet is class_398,class_398,class_398,class_78,class_344
The topic of this snippet is class_403,class_403,class_403,class_13,class_214
The sentence is related to class_290,class_290,class_290,class_468,class_352
I think this text is about class_364,class_364,class_364,class_126,class_473
